title
Top	Bottom	length	deuterium
821.51	822.35	0.84	-255.48
822.35	823.142	0.792	-265.17
823.142	823.95	0.808	999999
823.95	824.758	0.808	999999
824.758	825.54	0.782	-261.91
825.54	826.345	0.805	-260.54
826.345	827.2	0.855	-271.19
827.2	827.98	0.78	-261.31
827.98	828.76	0.78	-266.52
828.76	829.635	0.875	-272.18
829.635	830.34	0.705	-272.82
830.34	831.015	0.675	-271.96
831.015	831.825	0.81	-264.7
831.825	832.665	0.84	-262.6
832.665	833.495	0.83	-274.05
833.495	834.24	0.745	-262.26
834.24	835.055	0.815	-269.08
835.055	835.81	0.755	-257.85
835.81	836.605	0.795	-261.03
836.605	837.459	0.854	-265.6
837.459	838.255	0.796	-256.49
838.255	839.12	0.865	-268.09
839.12	839.925	0.805	-257.3
839.925	840.675	0.75	-256.52
840.675	841.4	0.725	-261.1
841.4	842.115	0.715	-272.55
842.115	842.91	0.795	-267.18
842.91	843.746	0.836	-264.42
843.746	844.55	0.804	-266.4
844.55	845.41	0.86	-267.15
845.41	846.167	0.757	-265.48
846.167	846.95	0.783	999999
846.95	847.733	0.783	999999
847.733	848.56	0.827	-258.84
848.56	849.305	0.745	-261.2
849.305	850.05	0.745	-267.57
850.05	850.825	0.775	-259.4
850.825	851.56	0.735	-267.64
851.56	852.355	0.795	-269.89
852.355	853.18	0.825	-264.94
853.18	854.015	0.835	-263.5
854.015	854.755	0.74	-267.04
854.755	855.555	0.8	-256.49
855.555	856.335	0.78	-266.81
856.335	857.083	0.748	-268.39
857.083	857.85	0.767	-265.1
857.85	858.58	0.73	-259.31
858.58	859.365	0.785	-259.1
859.365	860.125	0.76	-273.69
860.125	860.93	0.805	-270.06
860.93	861.73	0.8	-266.56
861.73	862.55	0.82	-267.85
862.55	863.4	0.85	-266.13
863.4	864.26	0.86	-255.4
864.26	865.085	0.825	-270.69
865.085	865.885	0.8	-259.75
865.885	866.7	0.815	-255.19
866.7	867.475	0.775	-266.36
867.475	868.29	0.815	-266
868.29	869.075	0.785	-258.66
869.075	869.89	0.815	-257.92
869.89	870.7	0.81	999999
870.7	871.485	0.785	-263.82
871.485	872.265	0.78	-258.08
872.265	873.145	0.88	-265.35
873.145	873.915	0.77	-263.5
873.915	874.75	0.835	-259.43
874.75	875.57	0.82	-267.46
875.57	876.36	0.79	-260.08
876.36	877.045	0.685	-265.58
877.045	877.75	0.705	-265.88
877.75	878.565	0.815	-269.06
878.565	879.29	0.725	-260.24
879.29	880.08	0.79	-260.26
880.08	880.955	0.875	-264.67
880.955	881.725	0.77	-256.46
881.725	882.495	0.77	-266.88
882.495	883.3	0.805	-266.81
883.3	884.085	0.785	-257.87
884.085	884.94	0.855	-265.47
884.94	885.78	0.84	-264.57
885.78	886.57	0.79	-265.17
886.57	887.34	0.77	-264.96
887.34	888.12	0.78	-259.7
888.12	888.93	0.81	-269.29
888.93	889.615	0.685	-266.4
889.615	890.44	0.825	-259.76
890.44	891.254	0.814	-252.99
891.254	892.067	0.813	999999
892.067	892.815	0.748	-276.27
892.815	893.505	0.69	-262.21
893.505	894.32	0.815	-262.84
894.32	895.1	0.78	-273.55
895.1	895.95	0.85	-268.2
895.95	896.67	0.72	-275.1
896.67	897.49	0.82	-258.82
897.49	898.28	0.79	-264.16
898.28	899.06	0.78	-266.62
