top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
3013,3013.5,-288.7,-37.22,9
3013.5,3014,-294.5,-38.06,9.9
3014,3014.5,-285.3,-36.7,8.3
3014.5,3015,-285.4,-36.66,7.8
3015,3015.5,-284.6,-37.16,12.7
3015.5,3016,-291.2,-37.89,11.9
3016,3016.5,-286.3,-36.92,9
3016.5,3017,-281.6,-36.44,10
3017,3017.5,-288.1,-37.23,9.8
3017.5,3018,-287.9,-37.04,8.4
3018,3018.5,-286.9,-36.91,8.3
3018.5,3019,-279,-35.94,8.6
3020,3020.5,-280.2,-36.2,9.3
3020.5,3021,-283.2,-36.42,8.1
3021,3021.5,-279.9,-36,8.1
3021.5,3022,-269.4,-34.71,8.3
3022,3022.5,-280.8,-36.18,8.6
3022.5,3023,-290.1,-37.5,9.8
3023,3023.5,-278.9,-36.01,9.1
3023.5,3024,-274.4,-35.53,9.8
3024,3024.5,-279.2,-36,8.8
3024.5,3025,-261.8,-33.97,9.9
3025,3025.5,-273.8,-35.37,9.2
3025.5,3026,-279.6,-36.14,9.6
3026,3026.5,-263.1,-33.95,8.5
3026.5,3027,-269.3,-34.86,9.6
3027,3027.5,-279.9,-36.12,9
3027.5,3028,-280.7,-36.11,8.2
3028,3028.5,-284.2,-36.66,9.1
3028.5,3029,-277.9,-35.79,8.4
3029,3029.5,-285.8,-36.88,9.3
3029.5,3030,-287.8,-37.12,9.2
3030,3030.5,-299.4,-38.63,9.6
3030.5,3031,-291.4,-37.58,9.2
3031,3031.5,-268.8,-34.79,9.5
3031.5,3032,-280.9,-36.24,9.1
3032,3032.5,-290.1,-37.44,9.4
3032.5,3033,-270.2,-34.97,9.5
3033,3033.5,-273.5,-35.29,8.8
3033.5,3034,-282.8,-36.45,8.8
3034,3034.5,-270.4,-34.97,9.3
3034.5,3035,-286.5,-36.88,8.6
3035,3035.5,-285.3,-36.82,9.3
3035.5,3036,-272.8,-35.27,9.3
3036,3036.5,-268.7,-34.79,9.7
3036.5,3037,-254.5,-33.15,10.7
3037,3037.5,-287.1,-37.04,9.2
3037.5,3038,-276.7,-35.78,9.5
3038,3038.5,-273.4,-35.5,10.6
3038.5,3039,-281.9,-36.53,10.3
