top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
1884.5,1885,-304.2,-38.25,1.8
1885,1885.5,-304.6,-38.36,2.2
1885.5,1886,-313.6,-39.37,1.3
1886,1886.5,-308.4,-39.2,5.2
1886.5,1887,-307.1,-38.9,4.1
1887,1887.5,-313.6,-39.6,3.2
1887.5,1888,-307.6,-38.8,2.8
1888,1888.5,-302.8,-38.08,1.8
1888.5,1889,-306.4,-38.6,2.3
1889,1889.5,-313.3,-39.48,2.6
1889.5,1890,-318.3,-40.48,5.5
1890,1890.5,-299.2,-37.83,3.4
1890.5,1891,-308.5,-39.04,3.9
1891,1891.5,-311.8,-39.29,2.5
1891.5,1892,-303.9,-38.59,4.8
1892,1892.5,-305.2,-38.64,3.9
1892.5,1893,-307.2,-39.12,5.7
1893,1893.5,-311.6,-39.37,3.3
1893.5,1894,-315,-39.65,2.2
1894,1894.5,-295.1,-37.35,3.7
1894.5,1895,-308.2,-39.28,6.1
1895,1895.5,-315.6,-40.04,4.6
1895.5,1896,-307.1,-38.88,3.9
1896,1896.5,-317.6,,
1896.5,1897,-301.7,,
1897,1897.5,-304,-38.67,5.4
1897.5,1898,-303,-38.6,5.8
1898,1898.5,-310.4,-39.39,4.7
1898.5,1899,-307.4,-38.92,3.9
1899,1899.5,-301.9,-38.27,4.3
1899.5,1900,-310,-39.13,3
1900,1900.5,-313.9,-39.65,3.4
1900.5,1901,-298.1,-37.74,3.8
1901.01,1901.5,-311.4,-39.31,3.1
1901.5,1902,-302,-38.4,5.2
1902,1902.5,-296.9,-37.59,3.9
1902.5,1903,-310.6,-39.12,2.4
1903,1903.5,-300.7,-37.98,3.1
1903.5,1904,-307.4,-38.8,3
1904,1904.5,-306.8,-38.65,2.5
1904.5,1905,-305.1,-38.68,4.3
1905,1905.5,-303.3,-38.22,2.5
1905.5,1906,-290.9,-36.7,2.8
1906,1906.5,-301.8,-38.13,3.2
1906.5,1907,-300.2,-38.07,4.4
1907,1907.5,-309.6,-39.01,2.5
1907.5,1908,-312.9,-39.59,3.9
1908,1908.5,-308.8,-39.09,4
1908.5,1909,-311.2,-39.39,3.9
1909,1909.5,-308.1,-38.82,2.5
1909.5,1910,-320.5,-40.69,5
1910,1910.5,-309,-39.16,4.3
1910.5,1911,-310.7,-39.38,4.3
1911,1911.5,-314.4,-39.75,3.6
1911.5,1912,-300.7,-38.11,4.1
1912,1912.5,-306.9,-38.84,3.8
1912.5,1913,-305.4,-38.5,2.5
1913,1913.5,-300.6,-38.16,4.7
1913.5,1914,-307.2,-38.92,4.1
1914,1914.5,-312,-39.56,4.5
1914.5,1915,-311.6,-39.53,4.6
1915,1915.5,-321.5,-40.62,3.5
1915.5,1916.02,-316.2,-39.9,3
1916.02,1916.5,-299.7,-37.96,4
1916.5,1917,-311.7,-39.54,4.7
1917,1917.5,-307.4,-39.21,6.3
1917.5,1918,-304,-38.34,2.7
1918,1918.5,-315.8,-39.86,3
1918.5,1919,-303.4,-38.32,3.2
1919,1919.5,-314,-39.7,3.6
1919.5,1920,-318.5,-40.48,5.3
1920,1920.5,-303.3,-38.29,3
1920.5,1921,-309,-39.04,3.4
1921.01,1921.5,-308.2,-39.13,4.8
1921.5,1922,-315.9,-40.27,6.3
1922,1922.5,-320.2,999999,999999
1922.5,1923,-306,999999,999999
1923,1923.5,-299.5,-37.57,1.1
1923.5,1924,-314.5,-39.44,1
1924,1924.5,-307.1,-38.82,3.5
1924.5,1925,-322.3,-40.49,1.6
1925,1925.5,-307.1,-38.61,1.8
1925.5,1926,-312.3,-39.41,3
1926,1926.5,-304,-38.16,1.3
1926.5,1927,-314.2,-39.53,2
1927,1927.5,-318.7,-40.2,2.9
1927.5,1928,-324.5,-40.85,2.3
1928,1928.5,-321,-40.69,4.6
1928.5,1929,-309.1,-39.28,5.1
1929,1929.5,-318.5,-40.42,4.8
1929.5,1930,-318.7,-40.38,4.3
1930,1930.5,-304.2,-38.48,3.6
1930.5,1931,-310.4,-39.56,6
1931,1931.5,-303.4,-38.41,3.9
1931.5,1932,-306.1,-38.65,3.1
1932,1932.5,-310.2,-39.66,7
1932.5,1933,-317.6,-40.33,5
1933,1933.5,-300.3,-38.05,4.1
1933.5,1934,-299.3,-37.78,3
1934,1934.5,-303.5,-38.57,5
1934.5,1935,-306,-39,6
1935,1935.5,-301.8,-38.16,3.4
1935.5,1936,-309.3,-38.85,1.5
1936,1936.5,-313.8,-39.55,2.6
1936.5,1937,-311,-39.52,5.1
1937,1937.5,-308.8,-39.23,5
1937.5,1938,-310.3,-39.13,2.7
1938,1938.5,-306.8,-38.97,5
1938.5,1939,-313.4,-39.71,4.3
1939,1939.5,-310.2,-39.34,4.5
1939.5,1940,-304.9,-38.47,2.9
1940,1940.5,-317.8,-40.23,4
1940.5,1941,-318.7,-40.27,3.4
1941.01,1941.5,-316.2,-40.19,5.3
1941.5,1942,-320.2,-40.58,4.4
1942,1942.5,-316.8,-40.06,3.7
1942.5,1943,-308.5,-39.05,4
1943,1943.5,-321.2,-40.83,5.4
1943.5,1944,-319.7,-40.54,4.6
1944,1944.5,-324,-41.11,4.9
1944.5,1944.98,-324,-41.15,5.2
1944.98,1945.5,-311.7,-39.53,4.6
1945.5,1946,-312.4,-39.73,5.4
1946,1946.5,-319.2,999999,999999
1946.5,1947,-325.4,999999,999999
1947,1947.5,-326,-41.08,2.6
1947.5,1948,-320.4,-40.65,4.8
1948,1948.5,-321.6,-40.91,5.6
1948.5,1949,-322.6,-41.07,5.9
1949,1949.5,-323.2,-40.96,4.5
1949.5,1950,-320.2,-40.71,5.5
1950,1950.5,-310.1,-39.36,4.8
1950.5,1951,-326.2,-41.42,5.1
1951,1951.5,-318.7,-40.4,4.5
1951.5,1952,-322.9,-40.97,4.8
1952,1952.5,-318.1,-40.12,2.8
1952.5,1953.01,-327.7,-41.27,2.5
1953,1953.5,-313.8,-39.92,5.5
1953.5,1954,-324.9,-41.26,5.2
1954,1954.5,-324.6,-41.06,3.9
